epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
84,161126,0.56264,0.30613,0.78257,0.98081,0.96018,0.96799,0.84344,0.40741,0.21062,0.77028,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,162997,0.55854,0.30246,0.78178,0.98135,0.96042,0.969,0.84445,0.40538,0.20986,0.77008,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,164867,0.55542,0.3004,0.78203,0.98208,0.96011,0.96913,0.846,0.40295,0.20882,0.76993,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,166737,0.55092,0.29786,0.78124,0.98306,0.95931,0.96904,0.84648,0.40181,0.20848,0.76967,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,168613,0.54646,0.29467,0.78075,0.98334,0.95971,0.96929,0.8477,0.39913,0.20729,0.76948,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,170491,0.54249,0.29191,0.78043,0.98148,0.96092,0.96957,0.84835,0.398,0.20642,0.76931,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,172362,0.53885,0.28905,0.78025,0.98173,0.96126,0.97025,0.84961,0.39595,0.20541,0.76922,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,174277,0.47442,0.25638,0.77307,0.98113,0.96121,0.97025,0.85067,0.39446,0.20504,0.7691,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,176123,0.46706,0.25261,0.77207,0.98148,0.96152,0.97038,0.85096,0.39289,0.2046,0.76912,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,177964,0.46045,0.24807,0.77149,0.97825,0.96389,0.97083,0.85131,0.3915,0.20388,0.7691,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,179807,0.4543,0.24394,0.77025,0.9791,0.96388,0.97108,0.85259,0.38942,0.20256,0.76894,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,181656,0.4479,0.23987,0.76984,0.98109,0.96366,0.97216,0.85368,0.38731,0.20159,0.7687,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,183508,0.44158,0.23566,0.76933,0.98283,0.96263,0.97239,0.85499,0.38491,0.20058,0.76847,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,185359,0.43572,0.23162,0.76892,0.98097,0.96387,0.97213,0.85584,0.38312,0.19968,0.76821,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,187211,0.42957,0.22688,0.76806,0.98184,0.96339,0.97221,0.85686,0.38098,0.19872,0.768,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,189062,0.42328,0.22287,0.76706,0.9808,0.96571,0.9727,0.85831,0.37885,0.19768,0.76768,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,190910,0.41636,0.21721,0.76696,0.98168,0.96487,0.97266,0.85899,0.37715,0.19645,0.76747,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
