epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
49,78495.6,0.7613,0.43902,0.80524,0.96003,0.93817,0.94777,0.79037,0.5274,0.27996,0.78316,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,79999.5,0.75696,0.43647,0.80453,0.96094,0.93771,0.94771,0.79074,0.52626,0.27923,0.78315,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,81501.9,0.75482,0.43489,0.80398,0.96234,0.93632,0.9476,0.79073,0.52518,0.27831,0.78302,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,83002.1,0.75311,0.43295,0.80409,0.96295,0.93791,0.94854,0.79096,0.52449,0.27749,0.78293,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,84504.9,0.75085,0.43161,0.8036,0.96167,0.93979,0.94863,0.7915,0.523,0.27652,0.78278,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,86003.4,0.7488,0.43096,0.80371,0.96275,0.93882,0.94837,0.79253,0.521,0.27546,0.78254,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,87502,0.74717,0.42874,0.80358,0.96343,0.93965,0.94893,0.79301,0.51908,0.27438,0.7823,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,89000,0.74417,0.42707,0.80304,0.96492,0.93894,0.94926,0.79329,0.51856,0.27369,0.78208,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,90499.6,0.74088,0.42449,0.8022,0.96507,0.93936,0.94944,0.79444,0.51632,0.27292,0.78183,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,91999.2,0.73815,0.4227,0.80201,0.96364,0.93968,0.94921,0.79478,0.51475,0.27214,0.78159,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,93843.8,0.73604,0.42071,0.80169,0.96337,0.94015,0.94953,0.79561,0.51315,0.2712,0.78144,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,95342.1,0.73516,0.4203,0.80147,0.96421,0.94074,0.94962,0.7968,0.51171,0.27046,0.78137,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,96843.7,0.73168,0.41775,0.80117,0.96548,0.94095,0.94967,0.79721,0.50988,0.26967,0.7812,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,98343.1,0.72962,0.41607,0.80124,0.96636,0.94094,0.95047,0.7979,0.50871,0.26889,0.781,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,99845.5,0.72686,0.41395,0.8007,0.96617,0.94159,0.95108,0.79816,0.50802,0.26843,0.78091,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,101348,0.72483,0.41341,0.80082,0.96715,0.941,0.95135,0.7982,0.50766,0.26789,0.78089,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,102848,0.72392,0.41201,0.80003,0.96696,0.94159,0.95108,0.79908,0.50616,0.26736,0.78079,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,104347,0.71723,0.40771,0.79968,0.96737,0.94156,0.95165,0.79997,0.50412,0.26625,0.78062,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,105851,0.71672,0.40589,0.79935,0.96827,0.94098,0.95086,0.80016,0.50272,0.26566,0.78046,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,107356,0.71435,0.40525,0.79881,0.96808,0.94174,0.95201,0.80099,0.50147,0.26495,0.78031,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,108860,0.71074,0.40231,0.79894,0.96824,0.9418,0.95166,0.80134,0.50008,0.26395,0.78016,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,110362,0.70858,0.40079,0.79841,0.96916,0.94274,0.95254,0.80222,0.49908,0.26311,0.78003,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,111864,0.7051,0.39802,0.79789,0.96899,0.94229,0.95242,0.80306,0.49725,0.26217,0.77988,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,113369,0.70389,0.39761,0.7981,0.969,0.94265,0.95263,0.80343,0.49616,0.2614,0.77966,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,114872,0.70082,0.39562,0.79755,0.96901,0.94295,0.95272,0.8045,0.49491,0.26089,0.77948,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,116370,0.69718,0.39272,0.79699,0.96925,0.94349,0.95289,0.80497,0.49381,0.25995,0.77939,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,117868,0.69553,0.39059,0.79685,0.96838,0.94465,0.95286,0.80575,0.49258,0.25944,0.77924,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,119367,0.69401,0.38902,0.79666,0.96802,0.94458,0.9533,0.80628,0.49087,0.25858,0.77904,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,120867,0.68898,0.38618,0.79641,0.9678,0.94495,0.95414,0.80698,0.48925,0.25782,0.77884,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,122366,0.68694,0.38431,0.79574,0.96803,0.94566,0.9541,0.80792,0.48805,0.25719,0.7786,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,123865,0.68248,0.38153,0.79528,0.96879,0.94532,0.95443,0.80819,0.48667,0.25632,0.77842,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,125367,0.6797,0.37899,0.79542,0.96851,0.9453,0.95455,0.80848,0.4854,0.2555,0.77823,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,126869,0.67572,0.37641,0.79448,0.96885,0.94478,0.95456,0.80933,0.48413,0.25467,0.77807,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
